date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2024-01-01 00:00:00,5.6,3.6,8,2.9,0,201,15.5,51.8,1011.6,96
2024-01-02 00:00:00,6.8,4.3,9.7,14.4,0,182,18.7,43.9,1003.4,0
2024-01-03 00:00:00,8.8,7.4,10.1,11.6,0,226,22.3,64.1,999.1,30
2024-01-04 00:00:00,6.8,3.1,8.8,0.9,0,239,22.3,53.6,1005.4,0
2024-01-05 00:00:00,4.6,1.6,8.3,0,0,129,10.1,20.5,1005.9,60
2024-01-06 00:00:00,2.9,0.2,4.7,0,0,52,4.3,13,1009.3,0
2024-01-07 00:00:00,0.1,-2.9,3.4,0,0,4,15.5,39.6,1017.6,0
2024-01-08 00:00:00,-4,-6.4,-2.4,0,0,23,14,32.8,1027.5,108
2024-01-09 00:00:00,-3.8,-7.3,0.6,0,0,66,11.2,40,1030.4,480
2024-01-10 00:00:00,-3.6,-7.9,1.2,0,0,90,6.5,18.4,1029.7,462
2024-01-11 00:00:00,-5.3,-9.7,0.5,0,0,335,4.7,14.8,1031.6,474
2024-01-12 00:00:00,-3.3,-7.7,-2,0,0,308,5.8,21.6,1032.4,0
2024-01-13 00:00:00,-2.4,-3,-1.8,0,0,234,13.3,29.5,1025.2,0
2024-01-14 00:00:00,-2.4,-5.2,-0.4,0.1,0,217,10.4,31.3,1012.7,6
2024-01-15 00:00:00,-1.6,-4.3,-0.1,0.5,0,250,20.5,46.4,1005.6,0
2024-01-16 00:00:00,-2,-8.3,0.4,0,10,214,12.6,42.1,1011.4,42
2024-01-17 00:00:00,-0.2,-8.5,8.7,10.1,10,126,14.8,37.1,995.9,0
2024-01-18 00:00:00,1.5,-2.2,8.7,3.5,0,309,13,35.3,997.5,0
2024-01-19 00:00:00,-1.8,-3.3,-0.8,0,0,280,11.2,29.5,1022.2,114
2024-01-20 00:00:00,-2.6,-7,1.6,0,0,198,8.3,18.4,1033.2,426
2024-01-21 00:00:00,-2.5,-9.2,3.1,0,0,127,13,24.8,1031.3,390
2024-01-22 00:00:00,4.4,-1,8.1,4.3,0,162,16.2,50,1020.9,0
2024-01-23 00:00:00,6.1,3.5,8,0.9,0,241,20.9,51.1,1027.4,138
2024-01-24 00:00:00,9.6,4.9,13.3,0.6,0,236,26.3,73.4,1023.8,72
2024-01-25 00:00:00,6.2,2.7,8.3,1.9,0,267,15.5,44.3,1029.4,204
2024-01-26 00:00:00,6.7,3.7,10,3.1,0,201,16.6,61.2,1027.9,6
2024-01-27 00:00:00,1.9,-3.4,7.6,0,0,251,8.3,27.7,1038,510
2024-01-28 00:00:00,1.8,-3.9,10.4,0,0,114,9.7,31,1035.9,528
2024-01-29 00:00:00,2.6,-3.9,9.7,0,0,123,9.4,18.4,1033.4,480
2024-01-30 00:00:00,3.3,-2.7,9.5,0,0,122,9.7,18.4,1033.5,90
2024-01-31 00:00:00,6.6,4.8,9.5,0.8,0,193,6.8,16.6,1033.5,66
2024-02-01 00:00:00,6.4,1.4,9.1,1.4,0,259,14.4,53.6,1030,72
2024-02-02 00:00:00,4.9,-0.3,8.8,0,0,218,10.8,36.4,1031.6,24
2024-02-03 00:00:00,7.1,5.8,7.8,0,0,262,20.2,42.5,1028.6,0
2024-02-04 00:00:00,8.1,6.7,9.3,0.1,0,251,27.7,59.4,1024.9,0
2024-02-05 00:00:00,7.9,0.2,11.3,0,0,247,21.6,52.9,1022.4,282
2024-02-06 00:00:00,6.7,0.1,9.3,0,0,239,19.8,42.5,1017.8,0
2024-02-07 00:00:00,8.1,7.1,9.2,8,0,227,23.4,58,1007.8,0
2024-02-08 00:00:00,9.3,7.3,11.1,7.5,0,208,13.3,33.5,1001.1,0
2024-02-09 00:00:00,10.3,8.4,13.7,7,0,161,13.7,29.2,993.7,60
2024-02-10 00:00:00,8.6,3.6,12.1,0.4,0,77,8.3,25.2,989.2,150
2024-02-11 00:00:00,6.5,3.7,8.3,4.9,0,224,11.5,35.6,994,0
2024-02-12 00:00:00,6.7,4,8.6,0.3,0,236,12.2,35.3,1005.9,6
2024-02-13 00:00:00,4.3,-0.3,8.7,0,0,234,9,29.5,1020.9,216
2024-02-14 00:00:00,6.1,-0.1,10.4,0.6,0,145,10.4,29.5,1023,6
2024-02-15 00:00:00,10.1,5.1,15.2,0,0,123,9.4,23.4,1020.4,198
2024-02-16 00:00:00,10.1,5.5,13.8,3.2,0,144,7.9,29.2,1018.6,60
2024-02-17 00:00:00,10.3,8.1,12.5,0,0,280,10.1,44.3,1030.2,114
2024-02-18 00:00:00,9.5,6.1,13.3,3,0,165,10.1,33.5,1030.3,234
2024-02-19 00:00:00,8.1,7.2,8.7,1.3,0,254,19.1,45.7,1026.5,24
2024-02-20 00:00:00,7.4,6.2,9.9,0.3,0,264,15.1,37.1,1028.1,102
2024-02-21 00:00:00,8.4,5.3,11.9,2.7,0,191,11.2,30.2,1020.3,342
2024-02-22 00:00:00,9.5,7.3,11.3,7.3,0,186,19.4,55.4,999.5,0
2024-02-23 00:00:00,5.8,0.9,9.8,0,0,196,16.6,48.6,999.7,12
2024-02-24 00:00:00,4,-1.2,10.4,1.2,0,159,14,52.9,1005.4,288
2024-02-25 00:00:00,4.8,-1.1,11.3,0,0,128,11.2,29.2,1006.4,504
2024-02-26 00:00:00,6.6,0.7,12.9,0,0,90,9.4,23.4,1003.3,174
2024-02-27 00:00:00,6.7,4.2,10.6,0,0,355,9.7,31,1012.9,42
2024-02-28 00:00:00,4.4,-2.6,8.2,0,0,311,7.6,21.6,1021.8,132
2024-02-29 00:00:00,4.5,-1.3,9.3,0,0,106,9.4,24.1,1016.4,84
2024-03-01 00:00:00,4.4,-2.5,9.5,0,0,100,6.1,14.8,1008.7,18
2024-03-02 00:00:00,7.8,4.1,13.2,0,0,111,13.7,34.6,1006.1,330
2024-03-03 00:00:00,9.1,3,16.2,0,0,91,12.5,33,1001.5,516
2024-03-04 00:00:00,5.8,0.3,9.3,0,0,290,6.5,20.5,1009.6,72
2024-03-05 00:00:00,7.8,6.6,11.1,0.1,0,278,8.6,25.9,1015.1,60
2024-03-06 00:00:00,7.2,1.8,10.3,0,0,4,8.6,25.9,1020.9,0
2024-03-07 00:00:00,3.6,-0.5,7.3,0,0,40,9.7,33.5,1022.6,114
2024-03-08 00:00:00,4.6,-0.7,11.2,0,0,87,18.4,47.5,1014.5,624
2024-03-09 00:00:00,7.1,-1.8,15.4,0,0,98,11.2,38.9,1004.9,546
2024-03-10 00:00:00,8.7,5.3,12.7,0.4,0,85,17.3,40.7,997.2,30
2024-03-11 00:00:00,8.4,2.8,14.7,0,0,214,11.9,35.6,1006.4,552
2024-03-12 00:00:00,5.8,-1.3,9.9,0.1,0,197,10.4,30.2,1016.8,24
2024-03-13 00:00:00,8,4.5,10.9,1.3,0,168,7.6,23.4,1018.6,18
2024-03-14 00:00:00,10.7,6.9,16.3,0,0,135,8.6,18.4,1016.1,174
2024-03-15 00:00:00,11,5.3,17.3,0.2,0,173,14,44.3,1014,258
