date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2023-01-01 00:00:00,11.3,7,14.7,0,0,151,10.8,24.1,1021.4,138
2023-01-02 00:00:00,10.8,7.5,15.2,0,0,162,13,35.6,1021.5,192
2023-01-03 00:00:00,5.7,0.8,9,0,0,193,6.8,20.5,1031.1,258
2023-01-04 00:00:00,6.3,-0.4,10.6,2.7,0,182,17.6,44.3,1025.5,0
2023-01-05 00:00:00,9.6,7.8,11.3,1.2,0,247,21.2,55.1,1021.7,102
2023-01-06 00:00:00,8.9,7.6,10.4,0,0,201,11.2,46.4,1023,0
2023-01-07 00:00:00,7,1.8,10.3,0,0,132,10.1,24.1,1018.5,108
2023-01-08 00:00:00,4.6,1.2,7.3,5.2,0,130,13.7,25.9,1009.1,6
2023-01-09 00:00:00,5.4,4,7,0.7,0,195,15.5,44.3,1005,0
2023-01-10 00:00:00,4.4,2.2,5.7,0,0,242,15.1,35.6,1021,0
2023-01-11 00:00:00,6.3,3,8.8,3.1,0,173,14.4,33.5,1017.8,0
2023-01-12 00:00:00,7.8,5,9.6,0.2,0,203,18.7,52.6,1017.4,12
2023-01-13 00:00:00,8.1,5.9,9.9,2.6,0,215,18.7,49.3,1014.3,36
2023-01-14 00:00:00,6.4,3.4,8.7,3.7,0,184,17.6,40.7,1016,54
2023-01-15 00:00:00,5.5,1.4,10.5,5.1,0,210,18,48.6,1007.1,6
2023-01-16 00:00:00,3.1,-1.1,5.6,0.2,0,157,21.2,49.3,994.6,264
2023-01-17 00:00:00,1.6,-1.1,4.3,0.1,0,254,11.2,50,989.4,282
2023-01-18 00:00:00,-0.1,-1.7,0.6,0.3,0,283,9,25.9,996,0
2023-01-19 00:00:00,-1.5,-5,0.9,0,0,203,7.9,26.6,1009.7,150
2023-01-20 00:00:00,-0.7,-3.9,1.2,0,0,304,5.4,16.2,1017.5,0
2023-01-21 00:00:00,-1.9,-3.7,-0.7,0.1,0,327,13.7,40,1025.2,6
2023-01-22 00:00:00,-0.4,-1.6,1.2,0.9,0,334,6.1,14.8,1027.9,0
2023-01-23 00:00:00,1.1,-0.6,3.6,0,10,16,8.3,29.5,1033.4,108
2023-01-24 00:00:00,1.9,0.8,2.8,0,0,54,9.7,24.1,1036.4,0
2023-01-25 00:00:00,0,-0.7,0.8,0,0,91,6.5,19.8,1032.1,0
2023-01-26 00:00:00,-1.1,-1.8,-0.7,0,0,326,6.8,16.6,1022.6,0
2023-01-27 00:00:00,-0.8,-1.9,0.2,0,0,356,10.1,20.9,1023,0
2023-01-28 00:00:00,-0.2,-2.7,1.6,0,0,359,10.4,25.9,1027.8,0
2023-01-29 00:00:00,-2.9,-5.5,-0.6,0,0,266,6.8,18.4,1029.5,90
2023-01-30 00:00:00,0.9,-4.5,3,0,0,235,23.4,58,1021,6
2023-01-31 00:00:00,2.9,1.4,4.1,1.2,0,253,23.8,51.1,1024.8,12
2023-02-01 00:00:00,4.4,3,5.5,8.6,0,252,28.1,67.3,1020.7,18
2023-02-02 00:00:00,2.8,0.3,6.1,24.3,0,318,16.2,64.1,1023.9,0
2023-02-03 00:00:00,6.3,5.1,7.7,1.1,0,254,31,63,1025.6,0
2023-02-04 00:00:00,2.3,-4.5,5.9,0.5,0,344,13,47.5,1035.6,96
2023-02-05 00:00:00,-1.7,-6.9,2.6,0,0,93,7.9,16.6,1038.3,48
2023-02-06 00:00:00,-1.6,-6.4,1.2,0,0,21,6.8,24.1,1039.7,6
2023-02-07 00:00:00,-2.6,-7.6,3,0,0,80,7.2,27.7,1041.3,558
2023-02-08 00:00:00,-3.2,-8.9,3.2,0,0,82,10.1,32.8,1039.8,558
2023-02-09 00:00:00,-3.6,-9.6,2.9,0,0,116,6.8,22.7,1036.3,558
2023-02-10 00:00:00,-3,-8.8,3.3,0,0,93,8.3,18.4,1040.1,348
2023-02-11 00:00:00,1.8,-4.4,5.6,0,0,222,8.6,25.9,1037.3,54
2023-02-12 00:00:00,4.1,1,6.9,0,0,271,4,11.2,1039.6,102
2023-02-13 00:00:00,1.6,-3,9.7,0,0,116,5.8,22.3,1040,318
2023-02-14 00:00:00,1.3,-0.7,4.7,0,0,115,9.4,22.3,1037.5,78
2023-02-15 00:00:00,-0.1,-2.3,4.9,0,0,126,11.5,22.3,1032.2,318
2023-02-16 00:00:00,3.9,-4.6,11.5,0,0,135,8.3,18.4,1028.5,426
2023-02-17 00:00:00,9.6,5.5,12.3,0.2,0,216,19.8,55.1,1024.1,12
2023-02-18 00:00:00,10.8,9.1,12.8,0.2,0,255,26.6,63,1022.3,18
2023-02-19 00:00:00,8.5,7,10,0.7,0,254,22.7,52.6,1023.2,60
2023-02-20 00:00:00,9,6.2,13.6,0,0,246,18.4,48.2,1024.8,504
2023-02-21 00:00:00,7.8,0.3,14.8,0,0,230,6.5,24.1,1020.3,276
2023-02-22 00:00:00,7.9,-1.2,16,0,0,107,6.1,14.8,1015.2,426
2023-02-23 00:00:00,8,4.6,10.7,0.3,0,163,4.7,13,1014.2,0
2023-02-24 00:00:00,6.6,1.9,9.3,1.9,0,274,11.9,43.2,1007.3,6
2023-02-25 00:00:00,2,-1.3,4.7,0.8,0,288,21.6,56.9,1007.2,42
2023-02-26 00:00:00,-0.9,-3.2,2.6,0,0,2,15.1,45,1018.9,240
2023-02-27 00:00:00,-1.5,-5.5,3.1,0,0,42,11.2,37.1,1027.1,414
2023-02-28 00:00:00,0,-3.4,5.2,0,0,56,13.3,42.5,1028,594
2023-03-01 00:00:00,2.2,-3.9,8.4,0,0,48,11.2,43.2,1024.4,618
2023-03-02 00:00:00,4.7,-2.2,12.3,0,0,43,10.1,38.9,1019.6,618
2023-03-03 00:00:00,2.2,-4.1,10.1,0,0,335,7.9,25.9,1021.9,564
2023-03-04 00:00:00,0.3,-3.6,2.5,0,0,275,11.9,26.6,1023,0
2023-03-05 00:00:00,2.3,0.9,3.4,0,0,259,11.2,27.7,1016.3,0
2023-03-06 00:00:00,2.3,0.4,4.7,0,0,215,13.7,38.2,1007.6,6
2023-03-07 00:00:00,3.9,1.1,6.5,0,0,225,19.8,45,1002.5,90
2023-03-08 00:00:00,4.6,0.6,8.6,33.9,0,195,14.4,47.5,998.4,0
2023-03-09 00:00:00,9.2,5.6,12.5,0.9,0,220,21.2,65.9,998.4,54
2023-03-10 00:00:00,8.2,2.1,11.9,2.4,0,204,26.6,87.1,995.2,90
2023-03-11 00:00:00,1.1,-2.8,3.6,0.1,0,277,20.2,69.8,1010.2,60
2023-03-12 00:00:00,3.4,-3.5,8.8,0,0,153,11.5,29.2,1014.7,12
2023-03-13 00:00:00,11.6,7.2,18.2,8.7,0,181,16.9,60.5,1005.7,198
2023-03-14 00:00:00,8.1,2,13.7,6.6,0,216,21.6,74.2,1001.3,48
2023-03-15 00:00:00,1.4,-2.6,4.3,0.9,0,265,14.4,43.9,1019.1,264
2023-03-16 00:00:00,1.9,-5.2,8.8,0,0,112,14,36.4,1022,636
2023-03-17 00:00:00,8.4,-0.3,17.6,0,0,120,13.3,31.3,1014.3,576
2023-03-18 00:00:00,10.4,2.5,18.7,0,0,112,7.9,16.6,1014.1,438
2023-03-19 00:00:00,9.5,5.5,14.9,3.2,0,127,6.8,22.3,1017,246
2023-03-20 00:00:00,9.2,7,12,0,0,217,8.3,25.9,1020.4,0
2023-03-21 00:00:00,10.4,4.4,15.8,0.1,0,214,7.2,25.2,1017.5,480
2023-03-22 00:00:00,11.3,5.4,17.7,0,0,156,11.5,38.9,1013.2,
2023-03-23 00:00:00,12.8,7.7,15.5,0.1,0,178,12.6,48.6,1010.8,
2023-03-24 00:00:00,11.9,7.9,15.2,5.5,0,196,15.8,54.4,1008.1,
2023-03-25 00:00:00,8.8,6.3,11.6,2.8,0,228,22.3,79.6,1010.5,
2023-03-26 00:00:00,8,5.7,12.4,4.9,0,221,15.8,50.8,1006.3,
2023-03-27 00:00:00,3.7,0.1,6.1,0.1,0,300,22.7,61.2,1016.3,
2023-03-28 00:00:00,3,-0.8,7.3,0,0,270,14.8,35.6,1026.6,
2023-03-29 00:00:00,8.9,3.3,13.6,0.7,0,172,12.2,33.5,1019,150
2023-03-30 00:00:00,11.7,8.6,16,13.2,0,165,14,53.6,1012.7,126
2023-03-31 00:00:00,10.1,7.1,14.9,4.6,0,204,16.9,67.3,1004.3,138
2023-04-01 00:00:00,9.1,8.2,10.2,1.2,0,223,20.2,46.4,1003.9,0
2023-04-02 00:00:00,6.1,2.8,8.5,1.3,0,320,14.8,34.6,1017.5,0
2023-04-03 00:00:00,2.8,-1.5,6.8,0,0,19,14,37.1,1028.1,360
2023-04-04 00:00:00,1.8,-2.2,6,0,0,36,10.1,32.8,1027.1,474
2023-04-05 00:00:00,2.2,-4.3,8.4,0,0,344,6.1,22.3,1023.2,612
2023-04-06 00:00:00,4.4,-3.7,12.2,0,0,144,8.3,31.3,1020.5,708
2023-04-07 00:00:00,6.3,-0.8,13.5,0,0,224,7.9,27,1017.9,624
2023-04-08 00:00:00,5.9,2.4,9.9,0.8,0,347,8.6,24.1,1022.9,18
2023-04-09 00:00:00,8.3,1.6,14.4,0,0,90,9,31,1025.7,612
2023-04-10 00:00:00,9.1,0,15.8,1.4,0,125,14.8,37.1,1022.1,672
2023-04-11 00:00:00,9.1,2.8,13.4,0.1,0,236,19.8,52.9,1014.6,360
2023-04-12 00:00:00,7.9,2.7,13.2,4.3,0,142,16.6,37.8,1006.5,18
2023-04-13 00:00:00,7.4,4.7,10.1,0.3,0,226,12.2,42.1,1007.7,78
2023-04-14 00:00:00,7.1,3.8,12.2,0,0,312,9.7,37.1,1008.7,126
2023-04-15 00:00:00,6.4,4.1,8,5.3,0,313,11.2,37.1,1009.8,0
2023-04-16 00:00:00,8.8,6.8,12.4,0.6,0,344,8.3,25.9,1018.6,66
2023-04-17 00:00:00,9,5.5,12.6,0,0,352,13.7,38.9,1022.6,138
2023-04-18 00:00:00,8.9,5.2,12.8,0,0,18,12.2,32.8,1023.8,18
2023-04-19 00:00:00,7.1,-0.3,12.6,0,0,355,12.2,47.5,1021.5,330
