date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2021-01-01 00:00:00,1.7,0.1,3.1,0.5,0,146,5.4,13,1009.3,0
2021-01-02 00:00:00,0.2,-1.1,1.8,1.8,0,356,6.8,22.3,1013.1,6
2021-01-03 00:00:00,0.3,-0.4,0.9,0.2,20,41,4,13,1011.6,0
2021-01-04 00:00:00,0.5,0.1,1,0.2,0,53,5.8,19.1,1014.3,0
2021-01-05 00:00:00,1.2,0.2,3,0,0,354,7.6,16.6,1013.1,0
2021-01-06 00:00:00,0.6,0.1,1.3,1.8,0,311,7.2,16.6,1012.9,0
2021-01-07 00:00:00,0.6,0.1,2.2,0.2,0,228,10.1,34.6,1014.6,36
2021-01-08 00:00:00,0.3,-0.4,1.2,0.6,10,229,11.9,29.2,1015.8,0
2021-01-09 00:00:00,-0.3,-1.5,0.4,0,10,313,6.8,22.3,1022.6,120
2021-01-10 00:00:00,-1.6,-5.5,2.1,0,0,16,5,17.3,1025.4,210
2021-01-11 00:00:00,-4.8,-7.9,-1.7,0,0,135,8.3,24.1,1024.4,120
2021-01-12 00:00:00,0,-3.9,1.9,7.4,0,209,16.6,38.9,1013.1,0
2021-01-13 00:00:00,0.5,-2,1.8,0.1,30,256,19.8,43.9,1016.3,138
2021-01-14 00:00:00,-0.1,-2.1,1.8,0,30,295,14.4,59.4,1018.1,0
2021-01-15 00:00:00,-2.2,-6.8,-0.1,0,20,341,7.6,20.5,1024.6,30
2021-01-16 00:00:00,-2.6,-4.7,-1.5,0,20,296,9,25.9,1026.4,0
2021-01-17 00:00:00,-3.1,-5.5,-1.3,2.8,20,132,5.8,16.6,1021.1,0
2021-01-18 00:00:00,1.3,-1.4,2.1,0,40,244,14,31.3,1024.6,0
2021-01-19 00:00:00,1.5,0.1,3.4,3.1,20,203,13.7,33.5,1017.8,0
2021-01-20 00:00:00,2.3,-1.4,7.2,0,20,121,14.8,28.4,1009.8,252
2021-01-21 00:00:00,6.7,0.6,12.2,0.5,0,150,16.9,38.9,1002.1,90
2021-01-22 00:00:00,7.4,3.4,12.5,5.8,0,173,16.6,40.7,995.4,228
2021-01-23 00:00:00,1.2,-0.8,4.3,2.6,30,275,13.7,35.3,997.9,0
2021-01-24 00:00:00,0.2,-4.1,1.2,0.5,20,219,19.8,52.9,998.9,0
2021-01-25 00:00:00,-2.2,-6.5,0.4,1.1,30,85,7.6,18.4,1006,0
2021-01-26 00:00:00,-0.1,-2.1,1.2,1,40,259,18.7,50.8,1017,0
2021-01-27 00:00:00,-0.8,-4,0.9,0.2,60,178,9.4,20.5,1017.7,36
2021-01-28 00:00:00,3.4,0.8,9.7,24.4,40,191,12.2,48.6,1006.6,0
2021-01-29 00:00:00,7.2,3.9,9.8,3.5,0,226,20.9,65.5,999.4,60
2021-01-30 00:00:00,2.9,-1.2,7.1,4.5,0,329,16.6,53.6,1001.3,0
2021-01-31 00:00:00,-0.5,-1.9,2.1,0,30,81,11.5,24.1,1003.4,180
2021-02-01 00:00:00,1.3,-0.3,3.6,1.9,0,112,14,31.3,998,0
2021-02-02 00:00:00,6.8,3.6,9.8,5.5,0,188,10.4,28.4,1004.6,0
2021-02-03 00:00:00,9.3,8.4,11,10.1,0,183,16.2,62.3,1003.3,0
2021-02-04 00:00:00,6.3,1,9.4,0,0,254,16.9,65.5,1014.8,378
2021-02-05 00:00:00,5.1,2,8.1,2.8,0,86,6.5,20.5,1014.5,18
2021-02-06 00:00:00,4.2,2.6,5.5,0.8,0,74,12.2,33.8,1009,0
2021-02-07 00:00:00,1.3,-2.8,3.5,12.1,0,65,11.9,31,999.8,0
2021-02-08 00:00:00,-4.8,-8.2,-2.7,1.5,120,335,7.6,20.5,999.5,0
2021-02-09 00:00:00,-7.3,-8.7,-6.2,0,100,318,6.1,13,1005.7,0
2021-02-10 00:00:00,-8.2,-11.5,-7.2,0.3,100,347,11.9,29.5,1010.3,0
2021-02-11 00:00:00,-9.4,-14.3,-4.1,0,110,297,3.6,11.2,1029,294
2021-02-12 00:00:00,-10.4,-17.8,-3.7,0,110,35,7.9,35.3,1034.4,576
2021-02-13 00:00:00,-8.7,-15.5,-2.3,0,90,64,9.4,41.4,1040.7,582
2021-02-14 00:00:00,-8.7,-17,1.5,0,80,25,4.7,13,1043,588
2021-02-15 00:00:00,-4.3,-10.8,-0.3,0.9,80,130,12.6,29.5,1034.5,150
2021-02-16 00:00:00,2.2,-0.4,6.4,1.4,70,121,10.4,22.7,1022.4,90
2021-02-17 00:00:00,5.9,1.3,9.7,0.2,10,218,11.9,37.1,1020.7,24
