date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2019-01-01 00:00:00,5.5,1,6.3,1.8,0,261,21.6,64.8,1027.6,12
2019-01-02 00:00:00,1.2,-0.6,3.2,0.6,0,304,25.2,55.4,1029.9,234
2019-01-03 00:00:00,-1.3,-3.7,1.1,0,0,286,11.5,32,1036.9,348
2019-01-04 00:00:00,0,-2.3,1.5,2.4,0,280,13.7,43.2,1034.8,0
2019-01-05 00:00:00,2.5,0.3,4.9,5.8,0,274,19.4,45,1026.5,0
2019-01-06 00:00:00,4.4,3.3,5.1,1.9,0,310,13.3,33.5,1028.9,0
2019-01-07 00:00:00,3.6,1.7,4.5,2.2,0,272,15.5,32.8,1031.1,0
2019-01-08 00:00:00,3.5,1.6,5.1,2.9,0,253,29.5,70.2,1014.3,60
2019-01-09 00:00:00,0.8,-0.2,3.1,0.3,10,298,23.8,63,1012.1,0
2019-01-10 00:00:00,-0.1,-1.9,0.9,0,10,341,13.7,32.8,1022.9,0
2019-01-11 00:00:00,-1.4,-2.5,0.8,4.9,10,241,9,31.3,1025,0
2019-01-12 00:00:00,1.8,0.8,2.9,2.9,60,248,18.7,40.7,1019.8,0
2019-01-13 00:00:00,4.8,2.5,7.6,10.6,0,252,22.7,68,1006.6,0
2019-01-14 00:00:00,3.6,1.2,5.6,0.7,0,296,24.5,59.8,1009.6,78
2019-01-15 00:00:00,3,1.2,4.5,0,0,262,22.3,46.4,1020.2,24
2019-01-16 00:00:00,3.4,-0.5,5.9,0,0,212,13.7,31.3,1014.3,126
2019-01-17 00:00:00,3.5,-0.1,6.4,1.6,0,200,16.9,47.5,1007.8,12
2019-01-18 00:00:00,-0.2,-4.2,2.7,0,0,280,10.8,42.1,1019.4,318
2019-01-19 00:00:00,-3,-7.4,2.3,0,0,81,8.3,24.8,1018.9,498
2019-01-20 00:00:00,-4.2,-8.4,-0.3,0,0,93,7.9,20.9,1018.6,462
2019-01-21 00:00:00,-4.8,-9.4,0.8,0,0,71,4,13,1022.6,486
2019-01-22 00:00:00,-4.5,-7,-3.2,0,0,134,11.5,25.9,1013.5,0
2019-01-23 00:00:00,-4.6,-5.2,-3.6,0.4,0,85,11.2,27.7,1002.2,0
2019-01-24 00:00:00,-3.9,-5.1,-2.4,0.6,20,338,5,11.9,1010.3,0
2019-01-25 00:00:00,-3.7,-5.2,-1.2,4.1,50,237,8.6,22.3,1017.4,24
2019-01-26 00:00:00,1.4,-2.1,3.7,3,50,221,12.2,33.8,1010.6,0
2019-01-27 00:00:00,4.2,2.3,8.1,0.3,0,177,17.3,47.5,994.7,132
2019-01-28 00:00:00,1.7,0.5,3,0.5,0,239,22,47.5,997.6,0
2019-01-29 00:00:00,0.1,-4.3,2.2,0,0,260,13.3,34.6,1006.8,0
2019-01-30 00:00:00,-0.4,-4.3,3.2,0,0,139,15.8,40,998.6,42
2019-01-31 00:00:00,-1.1,-6.3,5,1.3,0,133,12.6,29.2,1000,420
2019-02-01 00:00:00,1.2,-1.1,4.2,5,20,96,10.4,32,993.6,6
2019-02-02 00:00:00,1.5,-0.3,4.4,0,0,103,5.4,14.8,998.1,18
2019-02-03 00:00:00,0.6,-0.9,2,1.8,0,323,15.8,42.5,1014.8,0
2019-02-04 00:00:00,-1.6,-7.3,3.4,0,20,124,9.7,22.3,1031,540
2019-02-05 00:00:00,-2.1,-4.7,1.4,0,10,126,12.2,22.3,1031.3,180
2019-02-06 00:00:00,-3.4,-6.3,0.8,0,10,132,14.4,25.9,1029.7,294
2019-02-07 00:00:00,-2.4,-7.8,1.7,1.6,0,130,14,31,1019.5,0
2019-02-08 00:00:00,2.8,-1.5,7.9,0.2,0,142,13.3,30.2,1019,396
2019-02-09 00:00:00,5.8,0.7,10.2,0,0,188,16.9,64.8,1013.3,288
2019-02-10 00:00:00,6.7,2.9,11.2,2.6,0,178,23.8,69.1,1004.4,0
2019-02-11 00:00:00,3.3,1.1,4.9,0.2,0,276,25.9,62.3,1016.1,12
2019-02-12 00:00:00,2.6,1.3,3.9,0,0,279,18.4,45.7,1033.6,0
2019-02-13 00:00:00,2.3,-3.2,8.1,0,0,236,6.5,22.3,1038.4,534
2019-02-14 00:00:00,1.7,-3.8,9.8,0,0,118,6.1,16.6,1038.6,324
2019-02-15 00:00:00,3.4,-4.3,14,0,0,119,5.8,14.8,1035.7,588
2019-02-16 00:00:00,3.8,-5,13.7,0,0,128,7.9,24.8,1030.7,582
2019-02-17 00:00:00,4.8,-3,14.7,0,0,130,8.6,20.5,1026.8,594
2019-02-18 00:00:00,4.9,-3,15.6,0,0,133,6.8,18.4,1022.2,594
2019-02-19 00:00:00,3.4,-2.2,9.8,0,0,135,10.4,34.6,1021.6,174
2019-02-20 00:00:00,3.6,-2.1,9.8,0,0,132,8.3,22.3,1026,192
2019-02-21 00:00:00,5.2,-1.5,10.9,0,0,170,9.7,34.6,1029,114
2019-02-22 00:00:00,7.4,-0.8,10.3,0,0,332,12.2,32,1034.6,12
2019-02-23 00:00:00,1.3,-3.9,7.5,0,0,93,11.9,31,1042,522
2019-02-24 00:00:00,1.8,-4.8,11,0,0,93,5.8,17.3,1040.6,558
2019-02-25 00:00:00,3.7,-4.6,14.2,0,0,54,4.3,18,1039.5,588
2019-02-26 00:00:00,5.5,-2.7,16,0,0,100,6.1,21.6,1035.1,588
2019-02-27 00:00:00,6.6,-2.1,16.5,0,0,115,5.4,14.8,1028.3,624
2019-02-28 00:00:00,8.7,-2,16.6,0,0,221,17.6,65.9,1017.5,570
2019-03-01 00:00:00,8.1,6.6,9.5,2.5,0,257,16.2,35.3,1014.8,6
2019-03-02 00:00:00,6.3,4.7,8,0.2,0,244,11.9,35.6,1018,0
2019-03-03 00:00:00,9.3,7,11.4,0,0,211,15.8,43.9,1013.6,0
2019-03-04 00:00:00,8.9,4.4,13.3,2.5,0,208,24.1,94.3,1002.5,90
2019-03-05 00:00:00,4.9,0.8,8.8,1.5,0,236,18,59.4,1010.8,36
2019-03-06 00:00:00,7.3,0.6,13.6,0,0,127,18.7,42.1,1009.2,288
2019-03-07 00:00:00,8.1,4.3,12.3,1.2,0,175,16.2,72.4,1003.4,96
2019-03-08 00:00:00,6.6,2.8,10.1,4.1,0,227,20.5,65.9,1015,102
2019-03-09 00:00:00,7.6,3.7,11.4,2.1,0,223,24.5,74.2,1015.9,48
2019-03-10 00:00:00,9.3,3.1,13.9,6.8,0,243,31.3,90.7,1010,180
2019-03-11 00:00:00,3.1,0.9,6.5,2.2,0,266,25.9,64.1,1019,186
2019-03-12 00:00:00,5.5,2,9.6,0.4,0,220,20.5,55.4,1020.1,372
2019-03-13 00:00:00,6,3.3,9.1,0.7,0,232,25.2,71.6,1010.6,150
2019-03-14 00:00:00,4.7,3.1,6.3,4.4,0,237,23.4,53.6,1007.8,0
2019-03-15 00:00:00,8,4.5,11.2,13.3,0,248,25.2,67.3,1008.2,0
2019-03-16 00:00:00,8.6,2.4,11.9,7.6,0,262,20.9,68,1011.4,42
2019-03-17 00:00:00,7.4,2,15.8,0.3,0,209,17.3,60.5,1007.5,408
2019-03-18 00:00:00,3.9,-1.9,8.4,0.4,0,251,15.8,48.6,1019.4,186
2019-03-19 00:00:00,2.3,-3,8.1,0,0,39,7.2,24.8,1029,432
2019-03-20 00:00:00,3.5,-3,11,0,0,114,6.5,22.3,1035.4,678
2019-03-21 00:00:00,6,-3.1,16.1,0,0,83,6.1,25.9,1034.8,708
2019-03-22 00:00:00,9,-1.4,19.7,0,0,116,5.4,24.1,1030.9,702
2019-03-23 00:00:00,9.7,0.7,18.4,0,0,120,7.2,21.6,1027.6,702
2019-03-24 00:00:00,8.3,1,14.7,0,0,328,8.6,32,1024.1,474
2019-03-25 00:00:00,4.4,0.1,7.4,1.6,0,288,17.3,63.7,1021.5,276
2019-03-26 00:00:00,3.8,-3.1,7.4,0.1,0,297,11.9,38.9,1029.7,84
