date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2020-01-01 00:00:00,-1.7,-6.3,5,0,0,93,5.4,16.6,1036.2,462
2020-01-02 00:00:00,-2.2,-7.5,1.4,0,0,135,7.2,25.9,1031.9,0
2020-01-03 00:00:00,3.3,-1,7.8,1.2,0,168,14.4,40.7,1025.7,18
2020-01-04 00:00:00,4.2,2.1,7,0.5,0,268,20.2,45.7,1029.2,12
2020-01-05 00:00:00,2.9,0,4.8,0,0,281,7.2,24.1,1036.3,114
2020-01-06 00:00:00,0.3,-3.7,5.1,0,0,119,10.1,26.6,1031,480
2020-01-07 00:00:00,1,-4.1,3.5,1.6,0,164,6.5,18.4,1030.3,0
2020-01-08 00:00:00,2.4,-2.5,4.6,1.7,0,130,10.4,20.5,1030.3,0
2020-01-09 00:00:00,7.1,4.6,9.5,1.1,0,135,11.9,25.9,1021.7,36
2020-01-10 00:00:00,7.5,5.4,9.9,0.9,0,199,12.6,43.2,1021.3,6
2020-01-11 00:00:00,2.7,-2.5,6,0,0,281,9,29.5,1033.8,12
2020-01-12 00:00:00,0.1,-4.7,2.3,0,0,147,9.4,22.3,1029.6,144
2020-01-13 00:00:00,3.3,-0.3,5.6,0,0,143,10.8,24.1,1024,0
2020-01-14 00:00:00,4.8,0,9.8,0,0,132,15.8,28.4,1018.3,246
2020-01-15 00:00:00,5.5,1.2,11.7,0,0,136,13,29.2,1021.3,462
2020-01-16 00:00:00,6.3,-0.7,12.4,0,0,114,10.1,20.5,1029,288
2020-01-17 00:00:00,2.9,-3,7.4,0.3,0,121,8.3,22.3,1022.5,444
2020-01-18 00:00:00,4.5,1.9,6.8,0,0,250,10.8,32,1026.8,132
2020-01-19 00:00:00,1.2,-0.7,3.7,0,0,307,5.8,20.5,1036.5,12
2020-01-20 00:00:00,0.7,-3.7,5,0,0,43,4.3,18.4,1046.6,78
2020-01-21 00:00:00,-2.8,-6.6,1.2,0,0,293,5.4,18.4,1043.6,444
2020-01-22 00:00:00,-2.3,-3,-1.5,0,0,100,5.4,18.4,1037.8,0
2020-01-23 00:00:00,-1.2,-5.1,1.3,0,0,70,7.2,31.3,1033.5,0
2020-01-24 00:00:00,-2.2,-5.2,1.2,0,0,108,6.1,16.6,1026.7,102
2020-01-25 00:00:00,-2.5,-6.3,-0.2,0,0,27,4,13,1024.6,0
2020-01-26 00:00:00,1.4,-1.4,6.1,0,0,55,5,14.8,1021.1,60
2020-01-27 00:00:00,4.1,-2.2,8.9,1.2,0,137,14,35.3,1014.3,132
2020-01-28 00:00:00,4.2,1,7.3,3,0,211,22.3,82.8,1002.4,96
2020-01-29 00:00:00,2.3,0.3,4.5,1.3,0,243,17.6,58.7,1010.5,72
2020-01-30 00:00:00,5.3,2.4,8.2,0.7,0,210,14.4,37.1,1014.8,132
2020-01-31 00:00:00,10.8,7.4,12.6,0.7,0,234,19.8,50,1012.2,12
2020-02-01 00:00:00,10.6,4.2,15,11.1,0,191,17.6,91.4,1010.2,54
2020-02-02 00:00:00,8.8,4.4,13,4.6,0,224,16.2,52.9,1012.4,0
2020-02-03 00:00:00,8.5,6.4,10,14,0,243,19.4,48.2,1014.2,0
